Year,Brown_trout_probability_of_capture,Brown_trout_lower_Confidenceinterval,Brown_trout_upper_Confidenceinterval,Canterbury_galaxias_probability_of_capture,Canterbury_galaxias_lower_Confidenceinterval,Canterbury_galaxias_upper_Confidenceinterval,Common_bully_probability_of_capture,Common_bully_lower_Confidenceinterval,Common_bully_upper_Confidenceinterval,Exotic_fish_probability_of_capture,Exotic_fish_lower_Confidenceinterval,Exotic_fish_upper_Confidenceinterval,Koaro_probability_of_capture,Koaro_lower_Confidenceinterval,Koaro_upper_Confidenceinterval,Koura_probability_of_capture,Koura_lower_Confidenceinterval,Koura_upper_Confidenceinterval,Longfin_eel_Shortfin_eel_probability_of_capture,Longfin_eel_Shortfin_eel_lower_Confidenceinterval,Longfin_eel_Shortfin_eel_upper_Confidenceinterval,Native_fish_probability_of_capture,Native_fish_lower_Confidenceinterval,Native_fish_upper_Confidenceinterval,Rainbow_trout_probability_of_capture,Rainbow_trout_lower_Confidenceinterval,Rainbow_trout_upper_Confidenceinterval,Redfin_bully_probability_of_capture,Redfin_bully_lower_Confidenceinterval,Redfin_bully_upper_Confidenceinterval,Shortfin_eel_probability_of_capture,Shortfin_eel_lower_Confidenceinterval,Shortfin_eel_upper_Confidenceinterval,Torrentfish_probability_of_capture,Torrentfish_lower_Confidenceinterval,Torrentfish_upper_Confidenceinterval,Upland_bully_probability_of_capture,Upland_bully_lower_Confidenceinterval,Upland_bully_upper_Confidenceinterval
1981,0.244395709,0.161946994,0.326989793,0.446688797,0.113380397,0.794402177,0.084239178,0.051747897,0.116730208,0.360051472,0.273613649,0.446811851,0.025391732,0.009669873,0.041253892,0.176207264,0.122044217,0.230716087,0.312756036,0.239183898,0.386328175,0.814116695,0.745445803,0.882787586,0.137293938,0.065904046,0.20706144,0.005220741,0.002366088,0.008048537,0.035485328,0.019769277,0.051201379,0.034015119,0.015035073,0.052995165,0.11294093,0.052134828,0.172854709
1982,0.274554107,0.194243365,0.356020614,0.195539434,-0.040207901,0.429860266,0.032557778,0.013464954,0.051650601,0.387696104,0.30274032,0.472597747,0.058898273,0.026111427,0.091415138,0.179963972,0.126643632,0.233143758,0.410394121,0.324420505,0.49605294,0.908908865,0.866025581,0.952413793,0.087452056,0.027360061,0.147544052,0.018564013,0.008976862,0.027979612,0.039338346,0.021818018,0.056845514,0.032288996,0.012362668,0.051257988,0.092463763,0.044221446,0.140863715
1983,0.250231106,0.189405242,0.310977203,0.152051383,0.017155766,0.288087388,0.097327679,0.067822056,0.126833303,0.384573649,0.315993782,0.453153516,0.047685607,0.02048013,0.07340837,0.092035881,0.059915765,0.124262933,0.36265841,0.294836422,0.430169536,0.785607983,0.727655894,0.843414916,0.044147769,0.024825202,0.063530758,0.007219522,0.002397697,0.012000376,0.034954076,0.021771777,0.048228553,0.023073491,0.010657473,0.035346965,0.099692337,0.046606751,0.150910091
1984,0.194460262,0.149876565,0.239043958,0.201533937,0.06074903,0.340910051,0.123308996,0.094301585,0.152324854,0.307243124,0.255051779,0.359434468,0.069761554,0.043881097,0.096328007,0.109023153,0.079927339,0.138071057,0.2558238,0.207014531,0.30463307,0.792792706,0.744127946,0.841457467,0.059546848,0.03404968,0.084901469,0.015343583,0.008705522,0.021981643,0.019912251,0.01279791,0.027037215,0.03163986,0.017462965,0.04594169,0.197228892,0.132762971,0.26156189
1985,0.197089197,0.146861474,0.247316921,0.137625334,0.027709432,0.248638954,0.157595938,0.119098334,0.196176775,0.317206677,0.256494072,0.378268892,0.05184525,0.03176141,0.071922689,0.072310988,0.047761078,0.096860899,0.230505559,0.179584316,0.281083777,0.796694231,0.743004478,0.850383983,0.062235253,0.028245603,0.096487978,0.009664498,0.005011065,0.014326965,0.010389703,0.004851554,0.015981448,0.043305415,0.022087012,0.064532216,0.198456972,0.133946443,0.262008562
1986,0.110405423,0.079542125,0.14078255,0.336310457,0.147700593,0.526432896,0.099090489,0.071485315,0.126695662,0.210080573,0.164673966,0.25548718,0.026189624,0.014490871,0.037821828,0.095135199,0.06811193,0.122202957,0.229509803,0.180539,0.278260868,0.804461875,0.745902072,0.864298529,0.087263695,0.046584955,0.127942435,0.010167879,0.005774265,0.014533303,0.013965747,0.008407097,0.019561274,0.028055307,0.01578223,0.040425634,0.164382033,0.103910117,0.22485395
1987,0.108204395,0.072857119,0.14355167,0.271453082,0.082030573,0.464341621,0.094666387,0.061676328,0.127538151,0.219259398,0.162958814,0.275559982,0.05173355,0.025516365,0.077628889,0.119956877,0.079348497,0.160104341,0.395537305,0.315160974,0.475833484,0.868762835,0.814153415,0.924540608,0.087882567,0.039389663,0.136211606,0.012000384,0.005652388,0.018298669,0.01565612,0.008034058,0.023293316,0.033837616,0.015868369,0.052035362,0.217914792,0.138837496,0.296992088
1988,0.1215222,0.081878994,0.161258922,0.330005803,0.09750665,0.562628743,0.067558294,0.043416235,0.091700353,0.263207927,0.202622137,0.323780949,0.05201674,0.027036539,0.077126392,0.125924254,0.087441557,0.164422324,0.331415187,0.262159189,0.400540815,0.878826386,0.832734755,0.925547671,0.07184513,0.036783473,0.106916926,0.006308992,0.003056072,0.009514053,0.022126137,0.012718511,0.031533764,0.03684613,0.019887211,0.053719714,0.1372648,0.080552847,0.194059108
1989,0.082365367,0.054568893,0.110442373,0.412006284,0.089165753,0.756727442,0.066285105,0.042738407,0.089831804,0.167771444,0.121997652,0.213188264,0.045089019,0.024386959,0.065711005,0.097027206,0.065853604,0.128200807,0.360522733,0.29005611,0.431198199,0.856234348,0.803830674,0.909289449,0.071941952,0.024888098,0.120964935,0.008889249,0.004574001,0.013175695,0.028579599,0.017585138,0.039572425,0.016653783,0.006423445,0.026820161,0.164082901,0.103040592,0.225125211
1990,0.16774267,0.122407348,0.213447035,0.204848215,-0.127197668,0.545158032,0.098663837,0.066009514,0.131286502,0.291904454,0.2306046,0.352416949,0.047664083,0.021880167,0.07361623,0.06599596,0.040418965,0.091649663,0.330387458,0.258718998,0.401510171,0.823338683,0.766653329,0.879658029,0.074052394,0.034203692,0.114077147,0.01338771,0.006207256,0.020505464,0.029565572,0.016825337,0.042335401,0.02832967,0.011701792,0.044376203,0.171814376,0.103511399,0.240117354
1991,0.24014196,0.179073204,0.301210717,0.138365769,-0.023461968,0.302282404,0.118238758,0.084649584,0.151973685,0.298331516,0.234735637,0.361927396,0.024699476,0.008202944,0.041473712,0.093985978,0.062665337,0.12530662,0.311748731,0.245121449,0.378376014,0.81099191,0.75103818,0.870945641,0.095353219,0.044064325,0.146448653,0.011252452,0.005905341,0.016685898,0.036413139,0.022813842,0.050089574,0.03729873,0.019519307,0.05533612,0.173528295,0.105459534,0.241664393
1992,0.12609935,0.095892944,0.156305756,0.285223288,-0.043074247,0.648911296,0.073965568,0.055059383,0.092871752,0.202147098,0.163608277,0.240742675,0.053181617,0.03738677,0.069361047,0.090549211,0.068400102,0.112698319,0.401057277,0.345691201,0.456788499,0.879932558,0.844382052,0.915483063,0.073027304,0.038250908,0.10790592,0.008180888,0.00510508,0.011256696,0.019616611,0.013259146,0.026030693,0.04231752,0.028193922,0.056627621,0.150008761,0.10142579,0.198027516
1993,0.189926835,0.148601325,0.231252345,0.142014275,-0.012605665,0.291084986,0.091248468,0.068814528,0.113682409,0.262588501,0.21727115,0.307680189,0.051688533,0.033635715,0.06974135,0.146821595,0.115319522,0.178221824,0.403074881,0.346472425,0.459250419,0.846380878,0.807535251,0.885226506,0.055950595,0.028135472,0.083765717,0.012822284,0.007878534,0.017683232,0.032187377,0.022382381,0.042020682,0.032661917,0.020221328,0.045102505,0.185704827,0.132930944,0.238478709
1994,0.168755152,0.120854641,0.215599713,0.26266645,0.051050127,0.474282774,0.079453699,0.054462976,0.104444421,0.257903586,0.200664127,0.314897331,0.077440915,0.048758295,0.106123536,0.221114873,0.17035531,0.271787487,0.478698082,0.404860454,0.552748884,0.930688579,0.898019622,0.963357535,0.003551788,-0.003544029,0.010735714,0.011589114,0.006838978,0.016359826,0.034905143,0.021834565,0.048018953,0.062188557,0.038855615,0.085665337,0.179577336,0.113310671,0.246318918
1995,0.129598757,0.093749477,0.165448036,0.70259962,0.510120518,0.891356422,0.047047787,0.029464528,0.064611316,0.233793515,0.184199231,0.283387798,0.050412597,0.030799239,0.070290093,0.221939447,0.172833138,0.270814176,0.394040641,0.32543812,0.461949615,0.854203477,0.814404648,0.894253482,0.025912115,0.00346892,0.047910238,0.009917928,0.005670062,0.014178746,0.03679686,0.022719345,0.050779723,0.034053992,0.01839775,0.049785306,0.206364653,0.144576323,0.268152983
1996,0.173422687,0.141796108,0.205049267,0.376703888,0.237341423,0.516408651,0.064406243,0.04783231,0.08109394,0.260035896,0.222173395,0.297903333,0.071854567,0.052606572,0.091156341,0.159861575,0.127806609,0.192175028,0.342244174,0.293785459,0.390693531,0.83065933,0.800318698,0.861081245,0.022132903,0.007820158,0.036298014,0.013387469,0.008771991,0.01800617,0.028408948,0.018855604,0.037962292,0.02686956,0.01570785,0.038041024,0.171858349,0.12566899,0.218047708
1997,0.161854069,0.122419777,0.201248542,0.178599412,0.057037038,0.298535822,0.055357253,0.037828909,0.072985285,0.302043483,0.251161923,0.352854582,0.053175355,0.034073436,0.072257117,0.141342925,0.108200362,0.174271217,0.351939089,0.296318773,0.407388281,0.840741575,0.802365284,0.878749977,0.05933716,0.028895959,0.089802339,0.010975544,0.006634363,0.01530136,0.033278491,0.021335131,0.045295483,0.035672908,0.020152719,0.050680661,0.245214383,0.16610486,0.32065809
1998,0.169264184,0.135716489,0.202642685,0.133747459,0.054746718,0.212912074,0.056037149,0.041846651,0.070321578,0.287907893,0.246031574,0.329729309,0.05542402,0.039820812,0.071235274,0.113218431,0.090486663,0.135950199,0.273123622,0.232844,0.313150374,0.806585334,0.770139287,0.842925019,0.056207561,0.030550509,0.081926809,0.009776067,0.006456152,0.013100574,0.025232199,0.017621559,0.032842839,0.028702414,0.017615901,0.039767316,0.172415075,0.115507721,0.229322429
1999,0.115635036,0.085998954,0.145271117,0.203325875,0.041853428,0.363837465,0.055752515,0.041060496,0.070526758,0.227252148,0.185803985,0.268631286,0.08804352,0.064712185,0.110856371,0.135548745,0.108861784,0.162403043,0.369275575,0.320107818,0.418443331,0.861666319,0.829908178,0.893489842,0.055863642,0.030241667,0.081462424,0.015745133,0.010473081,0.021017186,0.022199972,0.015198433,0.029201511,0.036079013,0.022349568,0.049808458,0.240108366,0.172548424,0.306871781
2000,0.160781952,0.131075405,0.190414632,0.364385668,0.21074871,0.520915982,0.051842499,0.038599753,0.065124334,0.223694987,0.18855943,0.258830544,0.060437631,0.04327634,0.077971238,0.138927562,0.113187925,0.164667198,0.5184571,0.469031567,0.567882632,0.87046811,0.844087762,0.896848457,0.014792545,0.004159369,0.025664397,0.017166076,0.011424787,0.022907365,0.029004038,0.020348323,0.037659753,0.035094004,0.022150714,0.04706646,0.231685419,0.182169734,0.281352444
2001,0.166062599,0.139213786,0.192945101,0.435403353,0.337725058,0.533081648,0.0626631,0.049226763,0.076081683,0.288546342,0.254107712,0.322895826,0.056469207,0.0426726,0.070100204,0.15537139,0.130805057,0.179993108,0.402188543,0.361621911,0.442530753,0.849831222,0.825644861,0.874017583,0.044886903,0.026752576,0.063097846,0.010512191,0.007205627,0.013818754,0.049001626,0.037022433,0.061012134,0.029791104,0.018814396,0.040671161,0.232611262,0.19058572,0.274664883
2002,0.134513068,0.10955794,0.159399227,0.260543945,0.161094275,0.359993615,0.045566366,0.03310466,0.058028071,0.285614491,0.248562449,0.32295609,0.075004179,0.056195048,0.093934748,0.17348251,0.143322201,0.203642818,0.326214939,0.282611039,0.369818838,0.807696227,0.775472507,0.839919946,0.077231317,0.049201398,0.105655983,0.016067422,0.010300817,0.021834026,0.052537082,0.038240249,0.066833916,0.032446956,0.01980034,0.045269192,0.167763914,0.12910295,0.206424878
2003,0.153669935,0.128723855,0.178616015,0.371601216,0.289253613,0.454019979,0.063903495,0.049627222,0.078211125,0.264152123,0.230784537,0.29751971,0.034597216,0.022906026,0.046434956,0.100916774,0.079587492,0.122361762,0.264753271,0.226840159,0.302666383,0.826867098,0.799401124,0.854291136,0.040418992,0.022887775,0.057873099,0.008723253,0.005285438,0.012161068,0.042176634,0.031211034,0.053142234,0.020819326,0.012147229,0.029830597,0.305468685,0.262017669,0.348919701
2004,0.109488375,0.088795718,0.130181032,0.226932958,0.15560403,0.298261886,0.051430618,0.03731566,0.065566987,0.231096146,0.198638989,0.263553302,0.038138228,0.025571053,0.050591988,0.127035005,0.099173577,0.154896434,0.303871556,0.25952802,0.348410232,0.835469213,0.807958356,0.86298007,0.042185616,0.024901655,0.059603404,0.010107307,0.005835033,0.014425052,0.053067602,0.038220725,0.06782911,0.026838223,0.015597806,0.038339484,0.233340994,0.189705268,0.276976721
2005,0.090202171,0.073666711,0.106689306,0.234085206,0.172500826,0.296196552,0.045691563,0.033237469,0.058284447,0.191856977,0.16474157,0.218972384,0.045442896,0.03201809,0.059356765,0.156980332,0.12822411,0.185736554,0.280234938,0.241478346,0.318930276,0.868821023,0.846756906,0.89088514,0.039036217,0.023285016,0.05446012,0.011268091,0.006679111,0.01585707,0.080597946,0.060484822,0.100694651,0.021828609,0.013023149,0.030444851,0.204317535,0.168431348,0.240203722
2006,0.082185797,0.064248333,0.100123261,0.294319987,0.228986001,0.359592751,0.045434392,0.030173493,0.060645977,0.216237617,0.181917656,0.250557577,0.052482495,0.035254095,0.069956324,0.087252438,0.059397674,0.115205158,0.219462589,0.176063617,0.262861562,0.878003066,0.852906099,0.903100034,0.062628914,0.039756947,0.085531101,0.006881063,0.003006193,0.010794239,0.055332762,0.037040748,0.073653407,0.014257032,0.005940121,0.022687277,0.299209817,0.246282261,0.351704614
2013,0.123664453,0.092285894,0.155043013,0.363013002,0.199366302,0.521889769,0.044878723,0.026749477,0.063001375,0.282524103,0.230997447,0.334050758,0.074977391,0.043580767,0.106374014,0.157472372,0.11149443,0.203409293,0.313631976,0.248964015,0.378445031,0.826960899,0.787523369,0.866310755,0.062195459,0.033021349,0.091230953,0.015623687,0.00643829,0.024650747,0.074455767,0.047788781,0.100824533,0.04892269,0.021793213,0.075436688,0.159974874,0.108904692,0.210966936
2014,0.075914977,0.052683584,0.099290638,0.231932336,0.138606176,0.324310343,0.057784923,0.034266852,0.080867712,0.241630535,0.190887762,0.292373308,0.021900786,0.006322901,0.037993326,0.145404461,0.099687271,0.191121651,0.437296087,0.362141661,0.512133923,0.818648692,0.774947612,0.862349771,0.045067198,0.020108724,0.069568205,0.008296494,0.002981528,0.013690775,0.085563941,0.05295847,0.118269151,0.042783134,0.015728163,0.0694063,0.106284174,0.065216181,0.147543981
2015,0.147081253,0.105036189,0.188625987,0.073836323,-0.053320538,0.214165255,0.039548317,0.021045858,0.058008965,0.29120455,0.23245392,0.349955179,0.047271516,0.016027375,0.07762335,0.089996493,0.055172383,0.124820604,0.510159867,0.43063125,0.589688485,0.917482125,0.890495709,0.944468542,0.081100512,0.021794543,0.139444805,0.012383223,0.004409606,0.020410059,0.063597792,0.036666727,0.090768671,0.023098439,0.005766048,0.041721365,0.281243941,0.20555323,0.355841195
